letters,times_seen,distinct_words,words_that_give_it
REV,2,2,"vicar (1), minister (1)"
ROCK,2,2,"stone (1), kind of music (1)"
ROSE,2,2,"climbed (1), got up (1)"
RUE,2,1,regret (2)
RULE,2,2,"control (1), law (1)"
STAR,2,2,"celebrity (1), famous (1)"
STERN,2,1,back (2)
UM,2,2,"er … (1), i’m thinking (1)"
WAR,2,1,conflict (2)
WARD,2,2,"charge (1), child looked after (1)"
X,2,2,"by (1), unknown (1)"
A VEIL,1,1,a screen (1)
A1,1,1,excellent (1)
ACCEPT,1,1,admit (1)
ACHE,1,1,hurt (1)
ACHT,1,1,crew (1)
ACING,1,1,pre-empting any return (1)
ADVENT,1,1,coming (1)
AEGISTHUS,1,1,agamemnon’s murderer (1)
AGA,1,1,commander (1)
AGE,1,1,time (1)
AGES,1,1,historical times (1)
AID,1,1,helping (1)
AIL,1,1,trouble (1)
AIR,1,1,air (1)
AKA,1,1,sometimes called (1)
ALARM,1,1,surprise (1)
ALE,1,1,porter (1)
ALL,1,1,everyone (1)
ALLEY,1,1,narrow path (1)
AM,1,1,in the morning (1)
AMI,1,1,friend (1)
AMPLE,1,1,very spacious (1)
AMPS,1,1,current unit (1)
ANAL,1,1,obsessive (1)
ANGST,1,1,anxiety (1)
ANNAL,1,1,record (1)
ANON,1,1,shortly (1)
ANT,1,1,insect (1)
ANTI,1,1,critical of (1)
APE,1,1,imitate (1)
AR,1,1,park (1)
ARC,1,1,bow (1)
ARCH,1,1,curved structure (1)
ARD,1,1,'eavily (1)
ARIA,1,1,air (1)
ARM,1,1,guns (1)
AS PER,1,1,according to (1)
ASH,1,1,wood (1)
ASS,1,1,dimwit (1)
ATOMIC,1,1,smallest thing (1)
ATTLEE,1,1,ex-pm (1)
AURI,1,1,golden (1)
AV,1,1,seventeenth-century bible (1)
AVERS,1,1,states (1)
AVOWAL,1,1,a & e (1)
AWAY,1,1,cut off (1)
AX,1,1,fire (1)
BACKED,1,1,supported (1)
BARDS,1,1,poets (1)
BART,1,1,animated boy (1)
BASE,1,1,low (1)
BASHES,1,1,parties (1)
BAT,1,1,club (1)
BE,1,1,live (1)
BEAU,1,1,boyfriend (1)
BED,1,1,appropriate place (1)
BERATE,1,1,carpet (1)
BESTIE,1,1,closest associate (1)
BIND,1,1,difficulty (1)
BIT,1,1,tool (1)
BLACK,1,1,grim (1)
BLOCK,1,1,obstruction (1)
BOD,1,1,chap (1)
BOUND,1,1,leap (1)
BOWER,1,1,grotto (1)
BOY,1,1,my (1)
BRA,1,1,supporter (1)
BRASS,1,1,money (1)
BREAK,1,1,holiday (1)
BRIEF,1,1,limited (1)
BRIO,1,1,dash (1)
BSE,1,1,agricultural disease (1)
BURST,1,1,ruptured (1)
BUT,1,1,save (1)
BUY,1,1,acquisition (1)
BY,1,1,times (1)
BYE,1,1,extra (1)
CADDY,1,1,carry golf bags (1)
CAL,1,1,california (1)
CANDO,1,1,positively helpful (1)
CANE,1,1,punish (1)
CANT ABIDE,1,1,cannot stand (1)
CAP,1,1,top (1)
CASCADE,1,1,fall (1)
CASHIER,1,1,handler of money (1)
CATER,1,1,provide (1)
CAVERS,1,1,explorers (1)
CC,1,1,copy (1)
CELERY,1,1,salad plant (1)
CELL,1,1,basic unit (1)
CH,1,1,church (1)
CHA,1,1,tea (1)
CHAR,1,1,cleaner (1)
CHIEF,1,1,management (1)
CHIP,1,1,processing unit (1)
CIA,1,1,spies (1)
CIC,1,1,commander-in-chief (1)
CID,1,1,police (1)
CILLA,1,1,say black (1)
CL,1,1,chlorine (1)
CLASSIC,1,1,definitive (1)
CLIPS,1,1,cuts (1)
CLOSE,1,1,nigh (1)
CLUB,1,1,possible putter (1)
COAL,1,1,fuel to burn (1)
CODE,1,1,key (1)
COL,1,1,pass (1)
COMA,1,1,state of unconsciousness (1)
COME,1,1,move towards (1)
CONSUME,1,1,eat (1)
COP,1,1,policeman (1)
COPULATE,1,1,mate (1)
CORE,1,1,part of apple (1)
COSH,1,1,truncheon (1)
COSTAR,1,1,top player (1)
COUNT,1,1,nobleman (1)
COUNTER,1,1,token (1)
COVER,1,1,insurance (1)
CRACKER,1,1,peach (1)
CRAM,1,1,stuff (1)
CROW,1,1,bragging (1)
CRU,1,1,vineyard’s (1)
CU,1,1,copper (1)
CUB,1,1,youngster (1)
CURVE,1,1,bend (1)
CUT,1,1,cross (1)
CY,1,1,extremely crafty (1)
DALE,1,1,glen (1)
DALLY,1,1,mooch (1)
DANGER,1,1,jeopardy (1)
DATUM,1,1,fact (1)
DE,1,1,device (1)
DEAD,1,1,insensitive (1)
DEAN,1,1,academic (1)
DEEP,1,1,profound (1)
DEFERENCE,1,1,respect (1)
DELIBERATE,1,1,intended (1)
DELVER,1,1,digger (1)
DEMO,1,1,show (1)
DEN,1,1,retreat (1)
DEPOSITION,1,1,witness statement (1)
DESIGN,1,1,plan (1)
DET,1,1,investigator (1)
DI,1,1,inspector (1)
DIAL,1,1,key in (1)
DID,1,1,prepared (1)
DINED,1,1,has eaten (1)
DOM,1,1,friar (1)
DOME,1,1,head (1)
DOOR,1,1,entrance (1)
DOT,1,1,spot (1)
DREAM,1,1,fantasise (1)
DRESS,1,1,outfit (1)
DRIVER,1,1,club (1)
DROIT,1,1,right (1)
DRY,1,1,needing water (1)
DUMBER,1,1,less wise (1)
DY,1,1,display (1)
EACH,1,1,per person (1)
EDS,1,1,editor’s (1)
EDUCATED,1,1,university (1)
EH,1,1,what (1)
ELDER,1,1,senior adviser (1)
ELY,1,1,city (1)
EMIN,1,1,artist (1)
EMIT,1,1,let out (1)
END,1,1,object (1)
ENSURE,1,1,guarantee (1)
ENT,1,1,hospital department (1)
EP,1,1,record (1)
ERR,1,1,make a mistake (1)
ERRED,1,1,made a mistake (1)
ESP,1,1,psychic ability (1)
ET,1,1,gretna (1)
ETAL,1,1,and others (1)
ETCHER,1,1,printmaker (1)
ETERNITY,1,1,long time (1)
ETON,1,1,school (1)
EU,1,1,european union (1)
EVEN,1,1,still (1)
EXCEPT,1,1,bar (1)
EXE,1,1,river (1)
EXHAUSTION,1,1,all in (1)
EXPO,1,1,display (1)
FALLING,1,1,keeling over (1)
FAN,1,1,supporter (1)
FARROW,1,1,litter (1)
FAST,1,1,have nothing (1)
FAT,1,1,chubby (1)
FELL,1,1,dropped (1)
FIB,1,1,lie (1)
FIFTY,1,1,l (1)
FIGHT,1,1,battle (1)
FINE,1,1,well (1)
FIREWATER,1,1,whisky (1)
FIRMS,1,1,companies (1)
FIT,1,1,healthy (1)
FL,1,1,florida (1)
FLO,1,1,florence (1)
FLY,1,1,race (1)
FOR,1,1,supporting (1)
FUNCTION,1,1,party perhaps (1)
GAIN,1,1,improve (1)
GALA,1,1,party (1)
GALE,1,1,wind (1)
GAM,1,1,school (1)
GEAR,1,1,equipment (1)
GEL,1,1,setter (1)
GEN,1,1,information (1)
GENT,1,1,man (1)
GOT,1,1,understood (1)
GRAB,1,1,snatch (1)
GRAMMY,1,1,music award (1)
GRAN,1,1,old woman (1)
GRANGE,1,1,country house (1)
GRANT,1,1,bursary (1)
